,title,description
8732,Engineering Manager (AI & Big Data),"['Project management and technical leadership for data science and big data projects. Maintaining top-quality and client-focused deliverables to meet and exceed their expectations towards delivered solutions.', 'Manage and mentor a team of data scientists, ensuring they are engaged, motivated, productive, and are provided with regular feedback to support growth.', 'Act as a trusted advisor, proposing effective approaches and data science architectures tailored to client needs.', 'Building technical solutions that deliver measurable value.', 'Identify opportunities to expand service offerings and project potential with clients.', 'Take part in pre-sales activities, connecting technical solutions to client needs.', 'Participate in the recruitment process of new talents.']"
8733,ML engineer / Data Scientist,"['Opracowywanie i utrzymywanie aplikacji Large Language Model (LLM), ze szczególnym uwzględnieniem projektowania agentowego, w tym wykorzystania narzędzi oraz metod rozumowania.', 'Tworzenie i zarządzanie potokami danych oraz potokami wdrażania dla aplikacji LLM, zapewniające bezproblemową integrację i wydajne przetwarzanie danych.', 'Korzystanie z zestawów narzędzi ML/AI, takich jak AWS Sagemaker, oraz innych odpowiednich struktur (np. Pytorch, TensorFlow, Keras, MXNet, H2O) do opracowywania i dostrajania modeli.', 'Wdrażanie i zarządzanie technologiami MLOps, takimi jak Sagemaker, Vertex AI i Kubeflow, w celu usprawnienia zarządzania cyklem życia modeli.']"
8734,ML engineer / Data Scientist,"['Opracowywanie i utrzymywanie aplikacji Large Language Model (LLM), ze szczególnym uwzględnieniem projektowania agentowego, w tym wykorzystania narzędzi oraz metod rozumowania.', 'Tworzenie i zarządzanie potokami danych oraz potokami wdrażania dla aplikacji LLM, zapewniające bezproblemową integrację i wydajne przetwarzanie danych.', 'Korzystanie z zestawów narzędzi ML/AI, takich jak AWS Sagemaker, oraz innych odpowiednich struktur (np. Pytorch, TensorFlow, Keras, MXNet, H2O) do opracowywania i dostrajania modeli.', 'Wdrażanie i zarządzanie technologiami MLOps, takimi jak Sagemaker, Vertex AI i Kubeflow, w celu usprawnienia zarządzania cyklem życia modeli.']"
8735,DevOps Engineer,"[' Develop and maintain multiple Kubernetes environments and CI/CD pipelines ', ' Implementing development and automation tools, and infrastructure ', ' Identifying technical problems and fixing the code bugs ', ' Ensuring that systems are safe and secure against cybersecurity threats ', ' Code Review ', ' verify and validate the code developed by colleagues ', ' Incidence management and root cause analysis ']"
8736,Senior Machine Learning Engineer,"['Identify and eliminate unnecessary complexity to streamline processes and improve efficiency.', 'Analyze and enhance the efficiency, scalability, and stability of machine learning model training pipelines.', 'Develop, maintain, and monitor the infrastructure responsible for training ML models by automating pipeline-related tasks, adding performance metrics, helping troubleshoot the issues, and creating alerts.', 'Continuously enhance the ML platform by integrating feature stores, model repositories, data versioning, and skew detection capabilities.', 'Optimize models by profiling, analyzing flame graphs to identify performance bottlenecks, and applying faster computational graph operations or full model transformations such as pruning, quantization, or hardware acceleration.', 'Collaborate with team members to deploy, manage, and integrate machine learning models.']"
8737,Senior Network Automation Test Engineer,"['Work collaboratively within a cross-functional DevOps model to ensure seamless integration of development and operations processes.\xa0', 'Take ownership of maintaining stable end-to-end CI/CD test pipelines, ensuring the reliability and efficiency of the continuous integration and deployment processes.\xa0', 'Report, track, and drive the closure of defects identified during end-to-end testing, actively contributing to the improvement of overall system quality.\xa0', 'Collaborate with teams operating across different time zones, fostering effective communication and cooperation.\xa0', 'Demonstrate the ability to work independently and remotely, showcasing self-motivation and proficiency with limited supervision.\xa0', 'Exhibit excellent written and verbal communication skills, facilitating clear and concise interaction within the team and with external stakeholders.\xa0', 'Manage multiple tasks concurrently, prioritize effectively, and consistently meet deadlines to ensure project timelines are adhered to.\xa0', 'Actively contribute as a team player, fostering a collaborative environment and supporting the overall success of the team and projects.\xa0']"
8738,Gen AI Platform Architect,"['designing, developing, and optimizing GenAI based products and solutions,', 'preparing documentation of all designs and development,', 'working in Scrum, attending Agile ceremonies and presenting the development work incrementally, contributing to mission-critical projects by utilizing backlog items and priorities set by the Product Owner,', 'staying at the forefront of developments in GenAI,', 'sharing insights and best practices within your team and across the organization to foster innovation and drive results.']"
8739,Senior AI Engineer,"['The majority of the resources would be supporting the development of assets (e.g., plugins) to further drive our overall AI strategy across the firm. In addition to that, we have ongoing AI R&D initiatives that we’d look to leverage some of these roles to help us continue driving the initiatives.']"
8740,Bioinformatyk,"['Scientific pipeline development', 'Technologies used: R/Python + nextflow + docker / singularity, HPC', ""Various scenarios: either designing the algorithm from scratch (in tight collaboration with stakeholders) or taking stakeholder's algorithm and productionalizing it (i.e. turning it from a rough script/draft to a robust, tested, performant pipeline)"", 'R/Python package development', 'Code review for other team members', 'Data integration pipelines (i.e. data extraction from databases, transformation, and rendering of an HTML report) ', 'Maintaining CI/CD', 'Facilitating meetings (occasionally - cross-team, internal or stakeholder meetings)', 'Gathering and refining requirements from stakeholders and other teams']"
8741,Senior Generative AI Data Scientist,[]
8742,Remote Data Engineer ,"['Work in an agile development team, pairing with other data engineers, test engineers and other non-technical team members.\xa0', 'Develops and constructs data assets and services and integrates them into systems and business processes.\xa0', 'Builds/develops the solution within the Product team following the technical and functional specifications in the User Story.\xa0', 'Actively seeks for driving a team spirit who will be delivering the Sprint on time and for the planned demand.\xa0', 'Contributes to code peer review to ensure the integrity and stability of the data platform\xa0', 'Use Test-driven Development to design and develop operationally maintainable solutions and evolution of overall technology solution.\xa0', 'Provides urgent support and escalation for any issues in the production environment\xa0']"
8743,Senior AI Engineer,"['AI Solution Development: Design, implement, and test AI models with a focus on machine learning, generative AI, and large language models (LLMs).', 'API Development: Create and maintain efficient and scalable APIs for AI models, ensuring seamless integration and ease of use.', 'Cloud Deployment: Deploy AI applications on cloud platforms such as AWS, Azure, or similar, ensuring reliability and scalability.', 'Knowledge Sharing: Conduct or support training sessions, workshops, and presentations to promote best practices and share AI knowledge with teams and clients.', 'Collaboration: Work closely with cross-functional teams to identify opportunities for AI implementation and deliver customized solutions.', 'Continuous Improvement: Monitor, analyze, and optimize deployed solutions to ensure maximum performance and alignment with business goals.']"
8744,Senior AI Engineer,"['AI Solution Development: Design, implement, and test AI models with a focus on machine learning, generative AI, and large language models (LLMs).', 'API Development: Create and maintain efficient and scalable APIs for AI models, ensuring seamless integration and ease of use.', 'Cloud Deployment: Deploy AI applications on cloud platforms such as AWS, Azure, or similar, ensuring reliability and scalability.', 'Knowledge Sharing: Conduct or support training sessions, workshops, and presentations to promote best practices and share AI knowledge with teams and clients.', 'Collaboration: Work closely with cross-functional teams to identify opportunities for AI implementation and deliver customized solutions.', 'Continuous Improvement: Monitor, analyze, and optimize deployed solutions to ensure maximum performance and alignment with business goals.']"
8745,Data Analyst,"['Analyzing and interpreting complex data to provide actionable insights for business decisions.', 'Preparing, cleaning, and transforming data for analysis and reporting purposes.', 'Creating and maintaining reports and dashboards using Power BI, Tableau, or similar tools.', 'Performing statistical analysis and modeling using Python, R, or other analytical tools.', 'Integrating data from various sources and ensuring data quality and consistency.', 'Collaborating with stakeholders to understand business needs and deliver data-driven solutions.', 'Assisting in the development and optimization of data models for analysis and reporting.']"
8746,Data Analyst,"['Analyzing and interpreting complex data to provide actionable insights for business decisions.', 'Preparing, cleaning, and transforming data for analysis and reporting purposes.', 'Creating and maintaining reports and dashboards using Power BI, Tableau, or similar tools.', 'Performing statistical analysis and modeling using Python, R, or other analytical tools.', 'Integrating data from various sources and ensuring data quality and consistency.', 'Collaborating with stakeholders to understand business needs and deliver data-driven solutions.', 'Assisting in the development and optimization of data models for analysis and reporting.']"
8747,Data Scientist,"['Advanced Data Analysis – Performing complex data analysis, applying statistical and algorithmic methods to derive insights that support business decision-making.', 'Designing and Implementing AI and ML Solutions – Building and deploying AI and machine learning-based solutions to support business activities such as forecasting, personalization, automation, and optimization.', 'Utilizing AI/ML Tools and Technologies – Working with AI tools and platforms such as TensorFlow, PyTorch, scikit-learn, and similar to implement machine learning algorithms and data analytics.', 'Presenting Results and Reporting – Translating data analysis results into accessible reports, presentations, and insights for business stakeholders to assist in decision-making.']"
8748,Data Scientist,"['Advanced Data Analysis – Performing complex data analysis, applying statistical and algorithmic methods to derive insights that support business decision-making.', 'Designing and Implementing AI and ML Solutions – Building and deploying AI and machine learning-based solutions to support business activities such as forecasting, personalization, automation, and optimization.', 'Utilizing AI/ML Tools and Technologies – Working with AI tools and platforms such as TensorFlow, PyTorch, scikit-learn, and similar to implement machine learning algorithms and data analytics.', 'Presenting Results and Reporting – Translating data analysis results into accessible reports, presentations, and insights for business stakeholders to assist in decision-making.']"
8749,Data Engineer,"['Designing and creating database schemas and data structures to support efficient data processing and storage in systems.', ""Developing and implementing data modeling processes that meet the client's needs and ensure data storage optimization and performance."", 'Integrating various data sources with internal and external systems using ETL tools and technologies.', 'Developing processes to extract, transform, and load data into data warehouses or other data storage systems.', 'Creating and managing data warehouses, including designing data structures that support analytics and reporting.', 'Optimizing SQL query performance and ensuring the integrity and consistency of data stored in data warehouses.', 'Developing applications and scripts that support data processing and analysis using programming technologies ', 'Implementing processes to automate and streamline data flow within the organization.', 'Using cloud tools and services (e.g., Azure Data Factory, Azure Synapse Analytics, Azure SQL Database) to store, process, and integrate data.', 'Monitoring the performance of ETL processes and database queries, identifying bottlenecks, and optimizing processes to ensure efficiency.', 'Participating in client meetings to understand their data requirements and deliver solutions that meet their needs.', 'Preparing technical documentation and reports on implemented solutions and data processing results.']"
8750,Data Engineer,"['Designing and creating database schemas and data structures to support efficient data processing and storage in systems.', ""Developing and implementing data modeling processes that meet the client's needs and ensure data storage optimization and performance."", 'Integrating various data sources with internal and external systems using ETL tools and technologies.', 'Developing processes to extract, transform, and load data into data warehouses or other data storage systems.', 'Creating and managing data warehouses, including designing data structures that support analytics and reporting.', 'Optimizing SQL query performance and ensuring the integrity and consistency of data stored in data warehouses.', 'Developing applications and scripts that support data processing and analysis using programming technologies ', 'Implementing processes to automate and streamline data flow within the organization.', 'Using cloud tools and services (e.g., Azure Data Factory, Azure Synapse Analytics, Azure SQL Database) to store, process, and integrate data.', 'Monitoring the performance of ETL processes and database queries, identifying bottlenecks, and optimizing processes to ensure efficiency.', 'Participating in client meetings to understand their data requirements and deliver solutions that meet their needs.', 'Preparing technical documentation and reports on implemented solutions and data processing results.']"
8751,Databricks Expert/ Consultant,"['supporting and leading various tasks to ensure the successful implementation and configuration of Databricks,', 'responsible for creating and maintaining comprehensive documentation,', 'overseeing the setup of environments to meet specified requirements,', 'conducting testing to validate that configurations function as expected,', 'ensuring compliance with standards, documenting and implementing necessary measure.']"
8752,Senior Cloud Data Engineer,[]
8753,Software QA Engineer with Networking - Remote,"['Designing and planning tests for new features of new cutting-edge network solutions', 'Maintaining and improving a fully automated CI/CD test solution', 'Automating test cases in Python using various frameworks', 'Designing and automating a new environment configuration to extend our testbed capabilities', 'Working in agile methodology and collaborating with a team']"
8754,Senior Data Engineer,"['Projektowanie i utrzymywanie hurtowni danych oraz migracja danych i procesów na środowisko chmurowe,', 'Tworzenie i utrzymywanie modeli danych do wspierania kluczowych decyzji biznesowych,', 'Integracja danych w celu wytworzenia wymaganych modeli danych,', 'Wdrażanie kontroli jakości danych i procesów walidacji, aby zapewnić dokładność, spójność i kompletność,', 'Współpraca z innymi zespołami, aby tworzyć zestawy danych spełniające potrzeby raportowania i rozwiązujące problemy systemowe,', 'Projektowanie i wykonywanie testów wydajnościowych i integracyjnych,', 'Raportowanie kluczowych wskaźników w firmie w narzędziu BI']"
8755,Senior Data Engineer,"['Projektowanie i utrzymywanie hurtowni danych oraz migracja danych i procesów na środowisko chmurowe,', 'Tworzenie i utrzymywanie modeli danych do wspierania kluczowych decyzji biznesowych,', 'Integracja danych w celu wytworzenia wymaganych modeli danych,', 'Wdrażanie kontroli jakości danych i procesów walidacji, aby zapewnić dokładność, spójność i kompletność,', 'Współpraca z innymi zespołami, aby tworzyć zestawy danych spełniające potrzeby raportowania i rozwiązujące problemy systemowe,', 'Projektowanie i wykonywanie testów wydajnościowych i integracyjnych,', 'Raportowanie kluczowych wskaźników w firmie w narzędziu BI']"
8756,Senior Data Engineer,"['Design, develop and maintain the Big Data system deployed on-premises\xa0', 'Develop and implement processes and best practices for data management and governance\xa0', 'Optimize and enhance system setup and improve data structures following industry best practices\xa0', 'Collaborate effectively with data engineering team members while partnering closely with analytics and data science teams to meet user needs\xa0']"
8757,Data Scientist,"['Driving the end-to-end model development lifecycle, ensuring best practices for reproducible research and well-managed software delivery', 'Working in a collaborative, cross-functional team, sharing information, valuing diverse ideas, and partnering effectively with global colleagues', 'Translating complex business problems into projects with clearly defined scope, ensuring timely and well-managed deliverables in a fast-paced environment', 'Fostering innovative ideas to solve real-world challenges', 'Communicating proactively, sharing work effectively, and describing ideas compellingly to both technical and non-technical audiences', 'Leading AI adoption across the enterprise']"
8758,Data Scientist,"['Driving the end-to-end model development lifecycle, ensuring best practices for reproducible research and well-managed software delivery', 'Working in a collaborative, cross-functional team, sharing information, valuing diverse ideas, and partnering effectively with global colleagues', 'Translating complex business problems into projects with clearly defined scope, ensuring timely and well-managed deliverables in a fast-paced environment', 'Fostering innovative ideas to solve real-world challenges', 'Communicating proactively, sharing work effectively, and describing ideas compellingly to both technical and non-technical audiences', 'Leading AI adoption across the enterprise']"
8759,Application Security Engineer,[]
8760,BI/Data Engineer for Data Warehouse,[]
8761,"Staff Software Engineer, AI Inference","['Work alongside machine learning researchers, engineers, and product managers to bring our AI Voices to their customers for a diverse range of use cases.', 'Deploy and operate the core ML inference workloads for our AI Voices serving pipeline.', 'Introduce new techniques, tools, and architecture that improve the performance, latency, throughput, and efficiency of our deployed models.', 'Build tools to give us visibility into our bottlenecks and sources of instability and then design and implement solutions to address the highest priority issues.']"
8762,Senior Test Automation Engineer (Python+Robot Framework),"['Implement python libraries as extension for Robot Framework.', 'Implement and maintain CI/CD pipelines for test libraries.', 'Identify and implement improvements and process automation for day to day tasks/challenges.', 'Test scenario and test case preparation.', 'Test data preparation.', 'Implementing test automation scripts.', 'Test results analysis and defect reporting.', 'Release planning and reporting.']"
8763,Data Scientist,"['Machine Learning Modeling and Engineering (50%): You are developing end-to-end Machine Learning solutions including conceptual design, training, implementation, deployment and post-launch monitoring while working in close collaboration with data engineers to follow engineering best practices.', 'Project Ownership (15%): You take full ownership of analytics projects and proactively identify, troubleshoot and resolve issues during implementation and post-launch phases ensuring continuous system performance.', 'Stakeholder management (5%): You are collaborating with key business stakeholders to understand challenges, gather requirements and identify opportunities for data driven solutions.', 'Business Intelligence Reporting (20%): You are supporting data driven decision making by translating information needs into insightful reports and dashboards using business intelligence tools.', 'Continuous Learning and Innovation (10%): You stay up-to-date with the latest advancements in data science and machine learning to test and transfer innovations to the online presence and online marketing industry.']"
8764,Senior AI / GenAI Engineer,"['Developing, fine-tuning, and optimizing Retrieval-Augmented Generation (RAG) workflows, including the integration of generative AI models and algorithms with retrieval systems.', 'Collaborating with cross-functional teams to gather requirements, define project objectives, and align AI solutions with business needs, ensuring seamless integration of RAG-based technologies.', 'Conducting research on state-of-the-art advancements in retrieval systems, generative AI, machine learning, and deep learning techniques, and identifying opportunities to leverage these technologies in our products and services.', 'Designing and implementing scalable and efficient pipelines for indexing and retrieving structured and unstructured data to support high-performance RAG solutions.', 'Creating comprehensive documentation, including technical specifications, guides, and presentations, to clearly communicate complex AI concepts and workflows to both technical and non-technical stakeholders.', 'Establishing and maintaining best practices and organizational standards for the development, deployment, and evaluation of RAG and generative AI models.']"
8765,Data Architect,
8766,Data Scientist / ML Engineer,"['Develop, implement, and validate Machine Learning solutions tailored to specific project requirements. ', ""Understand clients' needs and translate business problems into data science problems. "", 'Design scalable AI solution architectures.', 'Develop data pipelines and workflows, ensuring the highest standards of data quality and security.', 'Collaborate with Data Engineering and Software Engineering teams to build and deploy AI applications. ', 'Present findings and recommendations clearly and concisely to stakeholders. ', 'Effectively plan tasks within an Agile/Scrum framework. ']"
8767,Data Scientist / ML Engineer,"['Develop, implement, and validate Machine Learning solutions tailored to specific project requirements. ', ""Understand clients' needs and translate business problems into data science problems. "", 'Design scalable AI solution architectures.', 'Develop data pipelines and workflows, ensuring the highest standards of data quality and security.', 'Collaborate with Data Engineering and Software Engineering teams to build and deploy AI applications. ', 'Present findings and recommendations clearly and concisely to stakeholders. ', 'Effectively plan tasks within an Agile/Scrum framework. ']"
8768,Remote Embedded Test Automation Engineer,"['Resposibility for tests automation design and implementation for embedded hardware and software supplier. ', 'Designing and implementing tests strategies, test suites and test cases using Pytest framework. ', 'Maintaining the CI/CD infrastructure.', 'Requirements analysis.', 'Documentation of the test procedures.', 'Participating in the daily stand-ups.', 'CI/CD infrastructure management.']"
8769,Senior Data Engineer,"['Collaborate with cross-functional teams to understand business requirements\xa0', 'Design, implement, and maintain scalable and reliable data pipelines, data warehouses, and data lakes.\xa0', 'Develop and enforce best practices for data governance, data quality, and data security.\xa0', 'Help maintain code quality, organization, and automation.\xa0', 'Collaborate with other teams as needed to ensure interoperability, stability, and code reusability.\xa0', 'Optimize data processing and querying for better performance and cost-efficiency.\xa0', 'Stay up-to-date with the latest trends and technologies in the data engineering field (Modern Data Stack) and propose improvements to the existing architecture.\xa0']"
8770,Middle/Senior Data Engineer,"['Design, develop, and implement data pipelines using PySpark within AWS environments', 'Leverage AWS services such as S3, Glue, EMR, Lambda, and Redshift for building scalable data solutions', 'Optimize PySpark workflows for performance, reliability, and cost-efficiency', 'Collaborate with stakeholders to understand data requirements and translate them into technical solutions', 'Ensure data quality and integrity through robust testing and monitoring processes', 'Implement data governance, security, and compliance best practices in all development activities', 'Document technical designs, processes, and workflows to support ongoing maintenance and team knowledge sharing.']"
8771,Middle/Senior Data Engineer,"['Design, develop, and implement data pipelines using PySpark within AWS environments', 'Leverage AWS services such as S3, Glue, EMR, Lambda, and Redshift for building scalable data solutions', 'Optimize PySpark workflows for performance, reliability, and cost-efficiency', 'Collaborate with stakeholders to understand data requirements and translate them into technical solutions', 'Ensure data quality and integrity through robust testing and monitoring processes', 'Implement data governance, security, and compliance best practices in all development activities', 'Document technical designs, processes, and workflows to support ongoing maintenance and team knowledge sharing.']"
8772,Senior Machine Learning Engineer,"['Design, develop and implement both cutting-edge and well-established machine learning methods for content analysis, data retrieval, content classification, and others with a focus on NLP and LLM-related applications.', 'Collaborate closely with cross-functional teams to integrate machine learning solutions into products and platforms.', 'Assure the quality of the data for model development.', 'Interact directly with a client - a multinational e-commerce company (eBay) to report progress and plan new tasks.']"
8773,Senior Machine Learning Engineer,"['Design, develop and implement both cutting-edge and well-established machine learning methods for content analysis, data retrieval, content classification, and others with a focus on NLP and LLM-related applications.', 'Collaborate closely with cross-functional teams to integrate machine learning solutions into products and platforms.', 'Assure the quality of the data for model development.', 'Interact directly with a client - a multinational e-commerce company (eBay) to report progress and plan new tasks.']"
8774,Data Platform Engineer,"['Support to existing Data capture solution and be an active Development member of migration to new technology.', 'Analyze data and design, code, test, debug, automate, document, and maintain data solutions for multiple platforms.', 'Support in DevOps implementation.', 'Support in optimizing release process which include shell scripting, automation thought process.']"
8775,Site Reliability Engineer Senior,"['Testing inefficiencies and fragilities and write software or infrastructure fixes. You must be fluent in both software code and IaC', 'Designing and work with Engineering or the SRE team to build automation or provide self-service tools', 'Leveraging skills in data analysis, network diagnostics and debugging tools to characterize performance and capacity of large-scale distributed systems', ""Designing, managing and tracking of Akamai's platform related KPIs to identify trends and changes to improve performance"", 'Investigating proactively and analyzing platform performance to identify opportunities to maintain and enhance our advantage', 'Collaborating with internal teams to help trouble-shoot and resolve escalations and incidents for our customers', 'Working with cross-functional teams to gather customer requirements and influence how the business deploys and operates capacity']"
8776,Senior Site Reliability Engineer,"['Providing support and mentorship for other SRE engineers within the department', 'Defining requirements as part of the product lifecycle to influence the new designs and standards', 'Providing support, leadership and motivation for project teams', 'Collaborating with our support, operations and engineering teams to investigate and troubleshoot complex problems', 'Developing and improving automation to support daily activities and reduce toil', 'Improving our system monitoring to speed error detection and remediation, enhancing performance and reliability of virtualization platform', 'Participating in on-call rotations, guiding restoration and repair of service-impacting issues']"
8777,Site Reliability Engineer (Mid),"['Defining requirements as part of the product lifecycle to influence the new designs and standards', 'Collaborating with our support, operations and engineering teams to investigate and troubleshoot complex problems', 'Improving, maintaining and developing internal tools and applications widely used within organization', 'Participating in on-call rotations, guiding restoration and repair of service-impacting issues']"
8778,PySpark Developer,"['Develop, test, and maintain PySpark-based ETL pipelines to process and analyze large datasets.', 'Collaborate with data engineers, data scientists, and business stakeholders to understand data requirements and design optimal solutions.', 'Optimize PySpark applications for performance and scalability in distributed computing environments.', 'Work with Hadoop-based data platforms and integrate with other tools like Hive, HDFS, or Kafka.', 'Ensure data quality and integrity through robust validation and monitoring practices.', 'Debug and resolve issues in production and pre-production environments.', 'Document technical solutions and best practices.']"
8779,CI/CD Engineer,"['You will be responsible for developing and maintaining the data pipelines in our Snowflake based data warehouse.', 'You will be responsible for the CI/CD pipeline in the unit to improve the developer experience.']"
8780,Senior DevOps Engineer ,"['As a Senior DevOps Engineer, you will play a crucial role in designing, building, and maintaining our cloud infrastructure, CI/CD pipelines, and deployment automation. Your responsibilities will include monitoring web applications, automating daily tasks, and maintaining the production environment. You will collaborate closely with development teams, system administrators, and other stakeholders to ensure our systems are highly available, secure, and efficient.', 'This is an excellent opportunity for an experienced DevOps professional who is passionate about solving complex challenges and enabling engineering teams to perform at their best.']"
8781,Senior DevOps Engineer ,"['As a Senior DevOps Engineer, you will play a crucial role in designing, building, and maintaining our cloud infrastructure, CI/CD pipelines, and deployment automation. Your responsibilities will include monitoring web applications, automating daily tasks, and maintaining the production environment. You will collaborate closely with development teams, system administrators, and other stakeholders to ensure our systems are highly available, secure, and efficient.', 'This is an excellent opportunity for an experienced DevOps professional who is passionate about solving complex challenges and enabling engineering teams to perform at their best.']"
8782,DevOps Engineer,"['Wdrażanie i utrzymywanie narzędzi do automatyzacji operacji i procesów developerskich', 'Utrzymywanie i optymalizacja infrastruktury na platformach AWS i Azure', 'Automatyzacja i wsparcie procesów SDLC', 'Konfiguracja i utrzymanie procesów CI/CD', 'Implementacja systemów monitorowania i zarządzania logami', 'Zapewnienie zabezpieczeń infrastruktury i danych', 'Analiza i zarządzanie kosztami związanymi z zasobami chmurowym']"
8783,Senior Data Engineer,"['Modeling datasets and schemes for consistency and easy access,', 'Design and implement data transformations and data marts,', 'Integrating third-party systems and external data sources into data warehouse,', 'Building data flows for fetching, aggregation and data modeling using batch pipelines.']"
8784,Senior Data Engineer,"['Modeling datasets and schemes for consistency and easy access,', 'Design and implement data transformations and data marts,', 'Integrating third-party systems and external data sources into data warehouse,', 'Building data flows for fetching, aggregation and data modeling using batch pipelines.']"
8785,Remote Junior/Mid Cloud Infrastructure Specialist / Infrastructure Operations Specialist,"['Assist in monitoring and maintaining Linux servers and infrastructure components (Participation in a 24/7 on-call rotation)', 'Learn and apply best practices for system health and uptime.', 'Perform initial diagnosis and resolution of common issues.', 'Collaborate with senior team members for complex issues and learn proper escalation workflows.', 'Maintain and update troubleshooting guides and operational documentation.', 'Begin working with AWS services such as EC2 and RDS under guidance.', 'Gain hands-on experience in cloud resource deployment and management.', 'Use and modify basic scripts in Bash or Python for day-to-day operations.', 'Learn to create and optimize scripts to automate repetitive tasks over time.', 'Work with IT Service Management tools to handle tickets, changes, and incidents.', 'Develop an understanding of ITSM workflows and their role in infrastructure support.', 'Learn and apply basic cybersecurity principles, including account management and vulnerability monitoring.']"
8786,Remote Junior/Mid Cloud Infrastructure Specialist / Infrastructure Operations Specialist,"['Assist in monitoring and maintaining Linux servers and infrastructure components (Participation in a 24/7 on-call rotation)', 'Learn and apply best practices for system health and uptime.', 'Perform initial diagnosis and resolution of common issues.', 'Collaborate with senior team members for complex issues and learn proper escalation workflows.', 'Maintain and update troubleshooting guides and operational documentation.', 'Begin working with AWS services such as EC2 and RDS under guidance.', 'Gain hands-on experience in cloud resource deployment and management.', 'Use and modify basic scripts in Bash or Python for day-to-day operations.', 'Learn to create and optimize scripts to automate repetitive tasks over time.', 'Work with IT Service Management tools to handle tickets, changes, and incidents.', 'Develop an understanding of ITSM workflows and their role in infrastructure support.', 'Learn and apply basic cybersecurity principles, including account management and vulnerability monitoring.']"
8787,Project Manager (AI & Big Data),"['Project management and leadership for data science and big data projects. Maintaining top-quality and client-focused deliverables to meet and exceed their expectations towards delivered solutions.', 'Manage and mentor a team of data scientists, ensuring they are engaged, motivated, productive, and are provided with regular feedback to support growth.', 'Act as a trusted advisor for the client, overseeing project delivery.', 'Identify opportunities to expand service offerings and project potential with clients.', 'Take part in pre-sales activities, connecting technical solutions to client needs.', 'Participate in the recruitment process of new talents.']"
8788,Project Manager (AI & Big Data),"['Project management and leadership for data science and big data projects. Maintaining top-quality and client-focused deliverables to meet and exceed their expectations towards delivered solutions.', 'Manage and mentor a team of data scientists, ensuring they are engaged, motivated, productive, and are provided with regular feedback to support growth.', 'Act as a trusted advisor for the client, overseeing project delivery.', 'Identify opportunities to expand service offerings and project potential with clients.', 'Take part in pre-sales activities, connecting technical solutions to client needs.', 'Participate in the recruitment process of new talents.']"
8789,AWS Fullstack Developer React + Python,"['Develop and maintain scalable web and mobile applications.\xa0', 'Use NextJS, React, TypeScript, and React Native + Expo to build frontend.\xa0', 'Work on backend services with Python 3.10+, RESTful APIs\xa0', 'Design and manage cloud infrastructure using AWS, Terraform, and Docker.\xa0', 'Build and optimize databases with PostgreSQL and Redis.\xa0', 'Implement and maintain automated testing frameworks: pytest (backend), jest + react-testing-library (frontend), and optionally Cypress (E2E)\xa0']"
8790,Senior Java/Python Developer,"['Implement solutions and deliver high quality software', 'Help to define requirements, create software designs and translate them into code', 'Create and test software to enhance the solution and all related modules and services', 'Shape and apply our software standards of clean code and performance optimization techniques', 'Mentoring and support for other team members', 'Problem-solving and challenge-driven discussion regarding solutions', 'Cooperation with the client', 'Code review', 'Unit testing, integration testing', 'Ability to work independently', 'Communication with other teams regarding solutions']"
8791,"Financial Data Engineer (Python, SQL)","['Understanding the existing data sets and systems to migrate to a new platform.', 'Working a part of the rotation support with the other team members.', 'Engaging with vendors and technical teams to systematically ingest, evaluate, and create valuable data assets.', 'Conducting data analysis to assess data quality and drive business decisions.', 'Applying robust data quality rules to systemically qualify data deliveries and guarantee the integrity of financial datasets.', 'Engaging with technical and non-technical clients as SME on data asset offerings.', 'Communicating with stakeholders on project deliverables.']"
8792,Senior Azure MLOps Engineer,"['collaborate with Data Scientists to understand business challenges and design smart data products', 'develop and enhance MLOps frameworks for Data Science projects, ensuring adherence to best practices', 'design and implement Azure-based cloud infrastructure to support the development and deployment of AI-driven applications', 'build and optimize Azure cloud-hosted, automated pipelines for running, monitoring, and retraining data science models in business applications', 'support Data Engineers in automating data ingestion and processing workflows', 'create and maintain workflows for training, testing, and deploying data science models into production environments in close collaboration with Data Scientists and Data Engineers', 'manage the life cycle of deployed ML applications, including new releases, change management, monitoring, and troubleshooting', 'implement frameworks for measuring and optimizing the quality of deployed solutions']"
8793,Senior Azure MLOps Engineer,"['collaborate with Data Scientists to understand business challenges and design smart data products', 'develop and enhance MLOps frameworks for Data Science projects, ensuring adherence to best practices', 'design and implement Azure-based cloud infrastructure to support the development and deployment of AI-driven applications', 'build and optimize Azure cloud-hosted, automated pipelines for running, monitoring, and retraining data science models in business applications', 'support Data Engineers in automating data ingestion and processing workflows', 'create and maintain workflows for training, testing, and deploying data science models into production environments in close collaboration with Data Scientists and Data Engineers', 'manage the life cycle of deployed ML applications, including new releases, change management, monitoring, and troubleshooting', 'implement frameworks for measuring and optimizing the quality of deployed solutions']"
